2025-10-02 11:41:58,190 - INFO - Starting file fetch process...
2025-10-02 11:41:58,190 - ERROR - Missing Supabase credentials in environment variables
2025-10-02 11:42:13,601 - INFO - Starting file fetch process...
2025-10-02 11:42:13,687 - INFO - Supabase client initialized successfully
2025-10-02 11:42:13,687 - INFO - Fetching unprocessed files...
2025-10-02 11:42:14,095 - INFO - HTTP Request: GET https://kevndteqglsoslznrntz.supabase.co/rest/v1/processed_files?select=%2A "HTTP/2 200 OK"
2025-10-02 11:42:14,534 - INFO - Found 111 new files to process
2025-10-02 11:42:43,447 - INFO - New file: JC-201803-citibike-tripdata.csv.zip (locale: JC, modified: 2018-09-06 18:44:39+00:00)
2025-10-02 11:42:43,447 - INFO - New file: JC-201804-citibike-tripdata.csv.zip (locale: JC, modified: 2018-09-06 18:44:39+00:00)
2025-10-02 11:42:43,447 - INFO - New file: JC-201805-citibike-tripdata.csv.zip (locale: JC, modified: 2018-09-06 18:44:40+00:00)
2025-10-02 11:42:43,447 - INFO - New file: JC-201806-citibike-tripdata.csv.zip (locale: JC, modified: 2018-09-06 18:44:40+00:00)
2025-10-02 11:42:43,448 - INFO - New file: JC-201807-citibike-tripdata.csv.zip (locale: JC, modified: 2018-09-06 18:44:41+00:00)
2025-10-02 11:42:43,448 - INFO - New file: JC-201808-citibike-tripdata.csv.zip (locale: JC, modified: 2018-09-12 18:58:07+00:00)
2025-10-02 11:42:43,448 - INFO - New file: JC-201809-citibike-tripdata.csv.zip (locale: JC, modified: 2018-10-03 18:48:13+00:00)
2025-10-02 11:42:43,448 - INFO - New file: JC-201810-citibike-tripdata.csv.zip (locale: JC, modified: 2018-11-07 19:44:39+00:00)
2025-10-02 11:42:43,448 - INFO - New file: JC-201811-citibike-tripdata.csv.zip (locale: JC, modified: 2018-12-04 16:27:38+00:00)
2025-10-02 11:42:43,448 - INFO - New file: JC-201812-citibike-tripdata.csv.zip (locale: JC, modified: 2019-01-08 20:51:15+00:00)
2025-10-02 11:42:43,448 - INFO - New file: JC-201901-citibike-tripdata.csv.zip (locale: JC, modified: 2019-02-11 14:43:41+00:00)
2025-10-02 11:42:43,448 - INFO - New file: JC-201902-citibike-tripdata.csv.zip (locale: JC, modified: 2019-03-04 16:21:48+00:00)
2025-10-02 11:42:43,448 - INFO - New file: JC-201903-citibike-tripdata.csv.zip (locale: JC, modified: 2019-04-15 18:34:52+00:00)
2025-10-02 11:42:43,448 - INFO - New file: JC-201904-citibike-tripdata.csv.zip (locale: JC, modified: 2019-05-06 19:07:33+00:00)
2025-10-02 11:42:43,448 - INFO - New file: JC-201905-citibike-tripdata.csv.zip (locale: JC, modified: 2019-06-11 19:37:55+00:00)
2025-10-02 11:42:43,448 - INFO - New file: JC-201906-citibike-tripdata.csv.zip (locale: JC, modified: 2019-07-15 17:42:09+00:00)
2025-10-02 11:42:43,448 - INFO - New file: JC-201907-citibike-tripdata.csv.zip (locale: JC, modified: 2019-08-05 21:34:01+00:00)
2025-10-02 11:42:43,448 - INFO - New file: JC-201908-citibike-tripdata.csv.zip (locale: JC, modified: 2019-09-18 20:33:15+00:00)
2025-10-02 11:42:43,448 - INFO - New file: JC-201909-citibike-tripdata.csv.zip (locale: JC, modified: 2019-10-11 19:42:04+00:00)
2025-10-02 11:42:43,448 - INFO - New file: JC-201910-citibike-tripdata.csv.zip (locale: JC, modified: 2019-11-05 22:10:56+00:00)
2025-10-02 11:42:43,448 - INFO - New file: JC-201911-citibike-tripdata.csv.zip (locale: JC, modified: 2019-12-20 18:44:56+00:00)
